trial_id,participant_id,chain_id,domain,round_num,score,n_actions,chain_pos,condition
252,219,82,decorations,19,80.0,4,,individual
252,219,82,decorations,20,50.0,4,,individual
252,219,82,decorations,21,80.0,5,,individual
252,219,82,decorations,22,80.0,5,,individual
252,219,82,decorations,23,0.0,6,,individual
252,219,82,decorations,24,50.0,4,,individual
252,219,82,decorations,25,20.0,4,,individual
252,219,82,decorations,26,20.0,6,,individual
252,219,82,decorations,27,50.0,4,,individual
252,219,82,decorations,28,80.0,4,,individual
252,219,82,decorations,29,30.0,3,,individual
252,219,82,decorations,30,50.0,4,,individual
252,219,82,decorations,31,20.0,4,,individual
252,219,82,decorations,32,75.0,5,,individual
252,219,82,decorations,33,55.0,4,,individual
252,219,82,decorations,34,55.0,4,,individual
252,219,82,decorations,35,25.0,5,,individual
252,219,82,decorations,36,0.0,3,,individual
252,219,82,decorations,37,70.0,5,,individual
252,219,82,decorations,38,55.0,4,,individual
252,219,82,decorations,39,20.0,4,,individual
252,219,82,decorations,40,50.0,4,,individual
266,221,81,cooking,1,0.0,4,,individual
266,221,81,cooking,2,40.0,3,,individual
266,221,81,cooking,3,40.0,2,,individual
266,221,81,cooking,4,20.0,2,,individual
266,221,81,cooking,5,40.0,3,,individual
266,221,81,cooking,6,60.0,4,,individual
266,221,81,cooking,7,0.0,4,,individual
266,221,81,cooking,8,40.0,3,,individual
266,221,81,cooking,9,60.0,3,,individual
266,221,81,cooking,10,40.0,4,,individual
